suburb,bedroom_bucket,n_adr,adr,n_area,area,r_m2,confiavel
Canto da Praia,2 quartos,4,509.0,14,87.5,5.82,False
Canto da Praia,3 quartos,1,300.0,66,116.0,2.59,False
Casa Branca,2 quartos,11,350.0,20,69.5,5.04,True
Casa Branca,3 quartos,2,403.0,7,70.0,5.76,False
Centro,2 quartos,65,580.0,88,86.0,6.74,True
Centro,3 quartos,45,790.0,438,131.0,6.03,True
Centro,4+ quartos,5,850.0,436,200.0,4.25,False
Centro,Studio/1 quarto,78,450.0,22,42.0,10.71,True
Ilhota,3 quartos,1,500.0,4,129.0,3.88,False
Ilhota,Studio/1 quarto,2,345.5,5,38.0,9.09,False
Meia Praia,2 quartos,187,460.0,244,85.0,5.41,True
Meia Praia,3 quartos,327,700.0,1695,129.0,5.43,True
Meia Praia,4+ quartos,65,1200.0,1400,189.5,6.33,True
Meia Praia,Studio/1 quarto,28,485.0,58,40.0,12.12,True
Morretes,2 quartos,51,498.0,1044,69.0,7.22,True
Morretes,3 quartos,10,635.0,155,70.0,9.07,True
Morretes,4+ quartos,3,1000.0,58,188.5,5.31,False
Morretes,Studio/1 quarto,4,375.0,50,43.0,8.72,False
Tabuleiro dos Oliveiras,2 quartos,12,440.875,106,69.0,6.39,True
Tabuleiro dos Oliveiras,3 quartos,4,640.0,14,70.0,9.14,False
Tabuleiro dos Oliveiras,4+ quartos,1,1100.0,1,226.0,4.87,False
