suburb,n_terrenos,preco_mediano,preco_m2_mediano
Morretes,76,650000.0,2296.819787985866
Casa Branca,23,915000.0,2000.0
Sertão do Trombudo,17,598000.0,1695.3316953316953
Alto São Bento,11,750000.0,1181.8181818181818
Varzea,9,3300000.0,1571.4285714285713
Ilhota,5,1200000.0,2000.0
Meia Praia,5,699000.0,1536.2637362637363
Andorinha,1,2197000.0,7323.333333333333
Canto da Praia,1,39499800.0,11617.588235294117
Castelo Branco,1,2100000.0,6885.245901639344
Jardim Praia Mar,1,685000.0,2283.3333333333335
Tabuleiro dos Oliveiras,1,14500000.0,1260.8695652173913
